Año,Mes,Municipio,Valor
2024,Enero,Ahome,496.0
2024,Enero,Angostura,24.0
2024,Enero,Badiraguato,11.0
2024,Enero,Choix,17.0
2024,Enero,Concordia,9.0
2024,Enero,Cosalá,4.0
2024,Enero,Culiacán,982.0
2024,Enero,El Fuerte,65.0
2024,Enero,Eldorado,0.0
2024,Enero,Elota,18.0
2024,Enero,Escuinapa,43.0
2024,Enero,Guasave,236.0
2024,Enero,Juan José Ríos,0.0
2024,Enero,Mazatlán,553.0
2024,Enero,Mocorito,34.0
2024,Enero,Navolato,88.0
2024,Enero,Rosario,22.0
2024,Enero,Salvador Alvarado,61.0
2024,Enero,San Ignacio,0.0
2024,Enero,Sinaloa,13.0
2024,Febrero,Ahome,479.0
2024,Febrero,Angostura,28.0
2024,Febrero,Badiraguato,10.0
2024,Febrero,Choix,12.0
2024,Febrero,Concordia,9.0
2024,Febrero,Cosalá,3.0
2024,Febrero,Culiacán,1047.0
2024,Febrero,El Fuerte,47.0
2024,Febrero,Eldorado,0.0
2024,Febrero,Elota,18.0
2024,Febrero,Escuinapa,35.0
2024,Febrero,Guasave,199.0
2024,Febrero,Juan José Ríos,0.0
2024,Febrero,Mazatlán,619.0
2024,Febrero,Mocorito,23.0
2024,Febrero,Navolato,64.0
2024,Febrero,Rosario,22.0
2024,Febrero,Salvador Alvarado,61.0
2024,Febrero,San Ignacio,4.0
2024,Febrero,Sinaloa,20.0
2024,Marzo,Ahome,532.0
2024,Marzo,Angostura,37.0
2024,Marzo,Badiraguato,2.0
2024,Marzo,Choix,12.0
2024,Marzo,Concordia,2.0
2024,Marzo,Cosalá,0.0
2024,Marzo,Culiacán,913.0
2024,Marzo,El Fuerte,63.0
2024,Marzo,Eldorado,0.0
2024,Marzo,Elota,16.0
2024,Marzo,Escuinapa,25.0
2024,Marzo,Guasave,214.0
2024,Marzo,Juan José Ríos,0.0
2024,Marzo,Mazatlán,578.0
2024,Marzo,Mocorito,21.0
2024,Marzo,Navolato,85.0
2024,Marzo,Rosario,22.0
2024,Marzo,Salvador Alvarado,49.0
2024,Marzo,San Ignacio,4.0
2024,Marzo,Sinaloa,23.0
2024,Abril,Ahome,628.0
