Subtipo,Mes,Rango_Edad,Casos,Porcentaje,Total_Mes
Homicidio doloso,Enero 2024,Menores de edad (0-17),1.0,1.92,52.0
Homicidio doloso,Enero 2024,Adultos (18 y más),42.0,80.77,52.0
Homicidio doloso,Enero 2024,No especificado,9.0,17.31,52.0
Homicidio doloso,Enero 2024,No identificado,0.0,0.0,52.0
Homicidio doloso,Febrero 2024,Menores de edad (0-17),0.0,0.0,38.0
Homicidio doloso,Febrero 2024,Adultos (18 y más),31.0,81.58,38.0
Homicidio doloso,Febrero 2024,No especificado,6.0,15.79,38.0
Homicidio doloso,Febrero 2024,No identificado,1.0,2.63,38.0
Homicidio doloso,Marzo 2024,Menores de edad (0-17),0.0,0.0,34.0
Homicidio doloso,Marzo 2024,Adultos (18 y más),25.0,73.53,34.0
Homicidio doloso,Marzo 2024,No especificado,9.0,26.47,34.0
Homicidio doloso,Marzo 2024,No identificado,0.0,0.0,34.0
Homicidio doloso,Abril 2024,Menores de edad (0-17),0.0,0.0,33.0
Homicidio doloso,Abril 2024,Adultos (18 y más),27.0,81.82,33.0
Homicidio doloso,Abril 2024,No especificado,6.0,18.18,33.0
Homicidio doloso,Abril 2024,No identificado,0.0,0.0,33.0
Homicidio doloso,Mayo 2024,Menores de edad (0-17),0.0,0.0,42.0
Homicidio doloso,Mayo 2024,Adultos (18 y más),34.0,80.95,42.0
Homicidio doloso,Mayo 2024,No especificado,8.0,19.05,42.0
Homicidio doloso,Mayo 2024,No identificado,0.0,0.0,42.0
Homicidio doloso,Junio 2024,Menores de edad (0-17),1.0,2.22,45.0
Homicidio doloso,Junio 2024,Adultos (18 y más),36.0,80.0,45.0
Homicidio doloso,Junio 2024,No especificado,8.0,17.78,45.0
Homicidio doloso,Junio 2024,No identificado,0.0,0.0,45.0
Homicidio doloso,Julio 2024,Menores de edad (0-17),2.0,4.0,50.0
Homicidio doloso,Julio 2024,Adultos (18 y más),40.0,80.0,50.0
Homicidio doloso,Julio 2024,No especificado,7.0,14.0,50.0
Homicidio doloso,Julio 2024,No identificado,1.0,2.0,50.0
Homicidio doloso,Agosto 2024,Menores de edad (0-17),0.0,0.0,44.0
Homicidio doloso,Agosto 2024,Adultos (18 y más),34.0,77.27,44.0
Homicidio doloso,Agosto 2024,No especificado,9.0,20.45,44.0
Homicidio doloso,Agosto 2024,No identificado,1.0,2.27,44.0
Homicidio doloso,Septiembre 2024,Menores de edad (0-17),4.0,2.8,143.0
Homicidio doloso,Septiembre 2024,Adultos (18 y más),111.0,77.62,143.0
Homicidio doloso,Septiembre 2024,No especificado,28.0,19.58,143.0
Homicidio doloso,Septiembre 2024,No identificado,0.0,0.0,143.0
Homicidio doloso,Octubre 2024,Menores de edad (0-17),9.0,4.95,182.0
Homicidio doloso,Octubre 2024,Adultos (18 y más),136.0,74.73,182.0
Homicidio doloso,Octubre 2024,No especificado,37.0,20.33,182.0
Homicidio doloso,Octubre 2024,No identificado,0.0,0.0,182.0
Homicidio doloso,Noviembre 2024,Menores de edad (0-17),2.0,1.15,174.0
Homicidio doloso,Noviembre 2024,Adultos (18 y más),124.0,71.26,174.0
Homicidio doloso,Noviembre 2024,No especificado,48.0,27.59,174.0
Homicidio doloso,Noviembre 2024,No identificado,0.0,0.0,174.0
Homicidio doloso,Diciembre 2024,Menores de edad (0-17),7.0,4.46,157.0
Homicidio doloso,Diciembre 2024,Adultos (18 y más),119.0,75.8,157.0
Homicidio doloso,Diciembre 2024,No especificado,31.0,19.75,157.0
Homicidio doloso,Diciembre 2024,No identificado,0.0,0.0,157.0
Homicidio doloso,Enero 2025,Menores de edad (0-17),6.0,4.08,147.0
Homicidio doloso,Enero 2025,Adultos (18 y más),114.0,77.55,147.0
Homicidio doloso,Enero 2025,No especificado,27.0,18.37,147.0
Homicidio doloso,Enero 2025,No identificado,0.0,0.0,147.0
Homicidio doloso,Febrero 2025,Menores de edad (0-17),4.0,3.33,120.0
Homicidio doloso,Febrero 2025,Adultos (18 y más),98.0,81.67,120.0
Homicidio doloso,Febrero 2025,No especificado,18.0,15.0,120.0
Homicidio doloso,Febrero 2025,No identificado,0.0,0.0,120.0
Homicidio doloso,Marzo 2025,Menores de edad (0-17),4.0,2.96,135.0
Homicidio doloso,Marzo 2025,Adultos (18 y más),101.0,74.81,135.0
Homicidio doloso,Marzo 2025,No especificado,30.0,22.22,135.0
Homicidio doloso,Marzo 2025,No identificado,0.0,0.0,135.0
Homicidio doloso,Abril 2025,Menores de edad (0-17),1.0,0.84,119.0
Homicidio doloso,Abril 2025,Adultos (18 y más),89.0,74.79,119.0
Homicidio doloso,Abril 2025,No especificado,29.0,24.37,119.0
Homicidio doloso,Abril 2025,No identificado,0.0,0.0,119.0
Homicidio doloso,Mayo 2025,Menores de edad (0-17),9.0,5.45,165.0
