Periodo,Año,Mes,Entidad,Municipio,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Abril 2024,2024,Abril,Chihuahua,Batopilas de Manuel Gómez Morín,1,0,0,0,1
Agosto 2024,2024,Agosto,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Diciembre 2024,2024,Diciembre,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Enero 2024,2024,Enero,Chihuahua,Batopilas de Manuel Gómez Morín,1,0,0,0,1
Febrero 2024,2024,Febrero,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Julio 2024,2024,Julio,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Junio 2024,2024,Junio,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Marzo 2024,2024,Marzo,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Mayo 2024,2024,Mayo,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,1,1
Noviembre 2024,2024,Noviembre,Chihuahua,Batopilas de Manuel Gómez Morín,1,0,0,0,1
Octubre 2024,2024,Octubre,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Septiembre 2024,2024,Septiembre,Chihuahua,Batopilas de Manuel Gómez Morín,3,0,0,0,3
Abril 2025,2025,Abril,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Enero 2025,2025,Enero,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Febrero 2025,2025,Febrero,Chihuahua,Batopilas de Manuel Gómez Morín,1,0,0,0,1
Julio 2025,2025,Julio,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Junio 2025,2025,Junio,Chihuahua,Batopilas de Manuel Gómez Morín,1,0,0,0,1
Marzo 2025,2025,Marzo,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Mayo 2025,2025,Mayo,Chihuahua,Batopilas de Manuel Gómez Morín,0,0,0,0,0
Abril 2024,2024,Abril,Chihuahua,Chínipas,0,0,0,0,0
Agosto 2024,2024,Agosto,Chihuahua,Chínipas,0,0,0,0,0
Diciembre 2024,2024,Diciembre,Chihuahua,Chínipas,0,0,0,0,0
Enero 2024,2024,Enero,Chihuahua,Chínipas,0,0,0,0,0
Febrero 2024,2024,Febrero,Chihuahua,Chínipas,0,0,0,0,0
Julio 2024,2024,Julio,Chihuahua,Chínipas,0,0,0,0,0
Junio 2024,2024,Junio,Chihuahua,Chínipas,0,0,0,0,0
Marzo 2024,2024,Marzo,Chihuahua,Chínipas,0,0,0,0,0
Mayo 2024,2024,Mayo,Chihuahua,Chínipas,0,0,0,0,0
Noviembre 2024,2024,Noviembre,Chihuahua,Chínipas,0,0,0,0,0
Octubre 2024,2024,Octubre,Chihuahua,Chínipas,0,0,0,0,0
Septiembre 2024,2024,Septiembre,Chihuahua,Chínipas,0,0,0,0,0
Abril 2025,2025,Abril,Chihuahua,Chínipas,0,0,0,0,0
Enero 2025,2025,Enero,Chihuahua,Chínipas,0,0,0,0,0
Febrero 2025,2025,Febrero,Chihuahua,Chínipas,0,0,0,0,0
Julio 2025,2025,Julio,Chihuahua,Chínipas,0,0,0,0,0
Junio 2025,2025,Junio,Chihuahua,Chínipas,0,0,0,1,1
Marzo 2025,2025,Marzo,Chihuahua,Chínipas,0,0,0,0,0
Mayo 2025,2025,Mayo,Chihuahua,Chínipas,0,0,0,0,0
Abril 2024,2024,Abril,Chihuahua,Guadalupe y Calvo,2,1,0,0,3
Agosto 2024,2024,Agosto,Chihuahua,Guadalupe y Calvo,3,0,0,0,3
Diciembre 2024,2024,Diciembre,Chihuahua,Guadalupe y Calvo,5,0,0,0,5
Enero 2024,2024,Enero,Chihuahua,Guadalupe y Calvo,4,0,0,0,4
Febrero 2024,2024,Febrero,Chihuahua,Guadalupe y Calvo,7,0,0,0,7
Julio 2024,2024,Julio,Chihuahua,Guadalupe y Calvo,7,1,0,0,8
Junio 2024,2024,Junio,Chihuahua,Guadalupe y Calvo,5,0,0,0,5
Marzo 2024,2024,Marzo,Chihuahua,Guadalupe y Calvo,4,1,0,0,5
Mayo 2024,2024,Mayo,Chihuahua,Guadalupe y Calvo,10,1,0,0,11
Noviembre 2024,2024,Noviembre,Chihuahua,Guadalupe y Calvo,3,0,0,0,3
Octubre 2024,2024,Octubre,Chihuahua,Guadalupe y Calvo,5,1,0,0,6
Septiembre 2024,2024,Septiembre,Chihuahua,Guadalupe y Calvo,4,0,0,1,5
Abril 2025,2025,Abril,Chihuahua,Guadalupe y Calvo,1,0,0,0,1
Enero 2025,2025,Enero,Chihuahua,Guadalupe y Calvo,8,1,0,2,11
