Año,Mes,Periodo,Estado,Feminicidio,Homicidio culposo,Homicidio doloso,Otros delitos que atentan contra la vida y la integridad corporal,Total
2024,Enero,Enero 2024,Aguascalientes,1,14,6,2,23
2024,Febrero,Febrero 2024,Aguascalientes,0,6,3,3,12
2024,Marzo,Marzo 2024,Aguascalientes,1,13,12,6,32
2024,Abril,Abril 2024,Aguascalientes,0,16,9,3,28
2024,Mayo,Mayo 2024,Aguascalientes,2,13,14,7,36
2024,Junio,Junio 2024,Aguascalientes,0,12,13,5,30
2024,Julio,Julio 2024,Aguascalientes,0,14,18,6,38
2024,Agosto,Agosto 2024,Aguascalientes,0,14,18,5,40
2024,Septiembre,Septiembre 2024,Aguascalientes,0,15,16,6,34
2024,Octubre,Octubre 2024,Aguascalientes,0,13,17,5,43
2024,Noviembre,Noviembre 2024,Aguascalientes,0,14,17,5,36
2024,Diciembre,Diciembre 2024,Aguascalientes,0,13,19,6,40
2025,Enero,Enero 2025,Aguascalientes,0,10,12,5,27
2025,Febrero,Febrero 2025,Aguascalientes,0,7,11,13,31
2025,Marzo,Marzo 2025,Aguascalientes,1,12,7,13,33
2025,Abril,Abril 2025,Aguascalientes,0,10,5,7,22
2025,Mayo,Mayo 2025,Aguascalientes,0,15,7,14,36
2025,Junio,Junio 2025,Aguascalientes,1,13,7,9,30
2025,Julio,Julio 2025,Aguascalientes,0,7,10,8,25
2024,Enero,Enero 2024,Baja California,0,37,173,198,408
2024,Febrero,Febrero 2024,Baja California,4,40,187,186,417
2024,Marzo,Marzo 2024,Baja California,2,43,165,214,424
2024,Abril,Abril 2024,Baja California,4,21,195,239,459
2024,Mayo,Mayo 2024,Baja California,5,41,183,257,486
2024,Junio,Junio 2024,Baja California,3,42,175,220,440
2024,Julio,Julio 2024,Baja California,6,38,182,225,451
2024,Agosto,Agosto 2024,Baja California,5,38,166,234,472
2024,Septiembre,Septiembre 2024,Baja California,5,42,157,224,384
2024,Octubre,Octubre 2024,Baja California,5,34,188,235,497
2024,Noviembre,Noviembre 2024,Baja California,6,38,185,246,506
2024,Diciembre,Diciembre 2024,Baja California,5,35,202,229,414
2025,Enero,Enero 2025,Baja California,6,34,173,186,399
2025,Febrero,Febrero 2025,Baja California,1,35,133,213,382
2025,Marzo,Marzo 2025,Baja California,3,36,135,215,389
2025,Abril,Abril 2025,Baja California,1,33,106,205,345
2025,Mayo,Mayo 2025,Baja California,5,35,117,217,374
2025,Junio,Junio 2025,Baja California,0,38,140,210,388
2025,Julio,Julio 2025,Baja California,0,36,128,228,392
2024,Enero,Enero 2024,Baja California Sur,1,8,0,20,29
2024,Febrero,Febrero 2024,Baja California Sur,0,6,4,23,33
2024,Marzo,Marzo 2024,Baja California Sur,0,7,6,28,41
2024,Abril,Abril 2024,Baja California Sur,1,8,7,27,43
2024,Mayo,Mayo 2024,Baja California Sur,1,9,8,28,46
2024,Junio,Junio 2024,Baja California Sur,0,5,5,34,44
2024,Julio,Julio 2024,Baja California Sur,2,8,4,26,40
2024,Agosto,Agosto 2024,Baja California Sur,1,6,4,23,40
2024,Septiembre,Septiembre 2024,Baja California Sur,1,8,3,29,35
2024,Octubre,Octubre 2024,Baja California Sur,1,8,3,25,43
2024,Noviembre,Noviembre 2024,Baja California Sur,1,7,3,28,35
2024,Diciembre,Diciembre 2024,Baja California Sur,1,8,4,29,38
2025,Enero,Enero 2025,Baja California Sur,1,8,1,30,40
2025,Febrero,Febrero 2025,Baja California Sur,1,8,5,20,34
2025,Marzo,Marzo 2025,Baja California Sur,0,8,4,15,27
2025,Abril,Abril 2025,Baja California Sur,0,8,7,15,30
2025,Mayo,Mayo 2025,Baja California Sur,0,11,10,23,44
2025,Junio,Junio 2025,Baja California Sur,1,10,23,19,53
2025,Julio,Julio 2025,Baja California Sur,0,9,16,33,58
2024,Enero,Enero 2024,Campeche,1,6,11,25,43
2024,Febrero,Febrero 2024,Campeche,1,7,4,18,30
2024,Marzo,Marzo 2024,Campeche,1,8,8,24,41
2024,Abril,Abril 2024,Campeche,1,10,10,20,41
2024,Mayo,Mayo 2024,Campeche,0,15,6,22,43
2024,Junio,Junio 2024,Campeche,1,5,6,25,37
2024,Julio,Julio 2024,Campeche,0,5,5,16,26
2024,Agosto,Agosto 2024,Campeche,0,5,4,15,28
2024,Septiembre,Septiembre 2024,Campeche,0,5,4,16,25
2024,Octubre,Octubre 2024,Campeche,0,4,5,17,29
2024,Noviembre,Noviembre 2024,Campeche,0,4,5,15,26
2024,Diciembre,Diciembre 2024,Campeche,0,5,4,16,23
2025,Enero,Enero 2025,Campeche,0,5,6,6,17
2025,Febrero,Febrero 2025,Campeche,2,7,14,8,31
2025,Marzo,Marzo 2025,Campeche,1,14,12,9,36
2025,Abril,Abril 2025,Campeche,1,7,11,2,21
2025,Mayo,Mayo 2025,Campeche,1,12,7,5,25
2025,Junio,Junio 2025,Campeche,0,3,5,6,14
2025,Julio,Julio 2025,Campeche,1,6,11,14,32
2024,Enero,Enero 2024,Chiapas,2,67,45,13,127
2024,Febrero,Febrero 2024,Chiapas,2,71,52,12,137
2024,Marzo,Marzo 2024,Chiapas,4,78,66,7,155
2024,Abril,Abril 2024,Chiapas,1,61,75,6,143
2024,Mayo,Mayo 2024,Chiapas,4,72,66,12,154
2024,Junio,Junio 2024,Chiapas,0,80,53,4,137
2024,Julio,Julio 2024,Chiapas,2,52,58,7,119
2024,Agosto,Agosto 2024,Chiapas,2,45,53,7,134
2024,Septiembre,Septiembre 2024,Chiapas,2,55,66,6,122
2024,Octubre,Octubre 2024,Chiapas,2,52,53,6,125
2024,Noviembre,Noviembre 2024,Chiapas,1,59,61,7,108
2024,Diciembre,Diciembre 2024,Chiapas,2,47,64,6,136
2025,Enero,Enero 2025,Chiapas,0,80,32,17,129
2025,Febrero,Febrero 2025,Chiapas,1,49,23,6,79
2025,Marzo,Marzo 2025,Chiapas,4,65,34,14,117
2025,Abril,Abril 2025,Chiapas,4,78,25,12,119
2025,Mayo,Mayo 2025,Chiapas,2,73,34,13,122
2025,Junio,Junio 2025,Chiapas,3,54,30,7,94
2025,Julio,Julio 2025,Chiapas,2,64,29,8,103
2024,Enero,Enero 2024,Chihuahua,5,27,161,23,216
2024,Febrero,Febrero 2024,Chihuahua,2,15,123,27,167
2024,Marzo,Marzo 2024,Chihuahua,5,29,123,22,179
2024,Abril,Abril 2024,Chihuahua,7,17,134,32,190
2024,Mayo,Mayo 2024,Chihuahua,1,22,166,34,223
2024,Junio,Junio 2024,Chihuahua,4,22,161,42,229
2024,Julio,Julio 2024,Chihuahua,4,25,147,41,217
2024,Agosto,Agosto 2024,Chihuahua,3,22,136,41,215
2024,Septiembre,Septiembre 2024,Chihuahua,3,28,157,45,241
2024,Octubre,Octubre 2024,Chihuahua,3,23,163,36,188
2024,Noviembre,Noviembre 2024,Chihuahua,3,28,159,35,199
2024,Diciembre,Diciembre 2024,Chihuahua,4,26,159,37,226
2025,Enero,Enero 2025,Chihuahua,3,18,129,38,188
2025,Febrero,Febrero 2025,Chihuahua,2,16,111,59,188
2025,Marzo,Marzo 2025,Chihuahua,3,27,151,252,433
2025,Abril,Abril 2025,Chihuahua,3,21,116,96,236
2025,Mayo,Mayo 2025,Chihuahua,8,28,122,99,257
