Periodo,Año,Mes,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Enero 2024,2024,Enero,2049,1376,62,1051,4538
Febrero 2024,2024,Febrero,1944,1365,62,1039,4410
Marzo 2024,2024,Marzo,2062,1583,77,1129,4851
Abril 2024,2024,Abril,2259,1488,64,1189,5000
Mayo 2024,2024,Mayo,2279,1740,87,1346,5452
Junio 2024,2024,Junio,2265,1490,67,1241,5063
Julio 2024,2024,Julio,2182,1415,68,1242,4907
Agosto 2024,2024,Agosto,2144,1434,54,1205,4837
Septiembre 2024,2024,Septiembre,2175,1467,58,1251,4951
Octubre 2024,2024,Octubre,2142,1380,57,1247,4826
Noviembre 2024,2024,Noviembre,2157,1408,57,1239,4861
Diciembre 2024,2024,Diciembre,2192,1403,58,1205,4858
Enero 2025,2025,Enero,2007,1375,56,976,4414
Febrero 2025,2025,Febrero,1765,1310,44,1098,4217
Marzo 2025,2025,Marzo,1935,1592,63,1449,5039
Abril 2025,2025,Abril,1678,1500,50,1218,4446
Mayo 2025,2025,Mayo,1725,1480,61,1341,4607
Junio 2025,2025,Junio,1681,1375,57,1187,4300
Julio 2025,2025,Julio,1728,1310,53,1195,4286
