"Entidad","Municipio","Feminicidio","Homicidio culposo","Homicidio doloso","Total","Año","Mes","Periodo","Otros delitos que atentan contra la vida y la integridad corporal"
"Aguascalientes","Aguascalientes","0.0","4.0","0.0","4.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Asientos","1.0","1.0","1.0","3.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Calvillo","0.0","2.0","1.0","3.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Cosío","0.0","0.0","0.0","0.0","2024","Enero","Enero 2024","0"
"Aguascalientes","El Llano","0.0","0.0","0.0","0.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Jesús María","0.0","3.0","1.0","4.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Pabellón de Arteaga","0.0","2.0","1.0","3.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Rincón de Romos","0.0","1.0","0.0","1.0","2024","Enero","Enero 2024","0"
"Aguascalientes","San Francisco de los Romo","0.0","0.0","2.0","2.0","2024","Enero","Enero 2024","0"
"Aguascalientes","San José de Gracia","0.0","0.0","0.0","0.0","2024","Enero","Enero 2024","0"
"Aguascalientes","Tepezalá","0.0","1.0","0.0","1.0","2024","Enero","Enero 2024","0"
"Baja California","Ensenada","0.0","6.0","9.0","15.0","2024","Enero","Enero 2024","0"
"Baja California","Mexicali","0.0","7.0","14.0","21.0","2024","Enero","Enero 2024","0"
"Baja California","Playas de Rosarito","0.0","1.0","3.0","4.0","2024","Enero","Enero 2024","0"
"Baja California","San Felipe","0.0","0.0","1.0","1.0","2024","Enero","Enero 2024","0"
"Baja California","San Quintín","0.0","2.0","2.0","4.0","2024","Enero","Enero 2024","0"
"Baja California","Tecate","0.0","1.0","3.0","4.0","2024","Enero","Enero 2024","0"
"Baja California","Tijuana","0.0","20.0","141.0","161.0","2024","Enero","Enero 2024","0"
"Baja California Sur","Comondú","0.0","2.0","0.0","2.0","2024","Enero","Enero 2024","0"
"Baja California Sur","La Paz","0.0","4.0","0.0","4.0","2024","Enero","Enero 2024","0"
"Baja California Sur","Loreto","0.0","0.0","0.0","0.0","2024","Enero","Enero 2024","0"
