Periodo,Año,Mes,Municipio,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Enero 2024,2024,Enero,Ahome,1,7,0,4,12
Enero 2024,2024,Enero,Angostura,2,1,0,0,3
Enero 2024,2024,Enero,Badiraguato,0,2,0,0,2
Enero 2024,2024,Enero,Concordia,0,0,0,0,0
Enero 2024,2024,Enero,Cosalá,0,0,0,0,0
Enero 2024,2024,Enero,Culiacán,36,13,0,11,60
Enero 2024,2024,Enero,Choix,1,0,0,0,1
Enero 2024,2024,Enero,Elota,0,3,0,2,5
Enero 2024,2024,Enero,Escuinapa,1,4,1,3,9
Enero 2024,2024,Enero,El Fuerte,0,1,0,6,7
Enero 2024,2024,Enero,Guasave,1,4,0,5,10
Enero 2024,2024,Enero,Mazatlán,3,12,0,18,33
Enero 2024,2024,Enero,Mocorito,2,1,0,0,3
Enero 2024,2024,Enero,Rosario,3,3,0,0,6
Enero 2024,2024,Enero,Salvador Alvarado,0,0,0,3,3
Enero 2024,2024,Enero,San Ignacio,0,0,0,0,0
Enero 2024,2024,Enero,Sinaloa,0,3,0,1,4
Enero 2024,2024,Enero,Navolato,1,3,0,3,7
Enero 2024,2024,Enero,Eldorado,0,0,0,0,0
Enero 2024,2024,Enero,Juan José Ríos,0,0,0,0,0
Febrero 2024,2024,Febrero,Ahome,1,10,0,9,20
Febrero 2024,2024,Febrero,Angostura,1,0,0,0,1
Febrero 2024,2024,Febrero,Badiraguato,0,2,0,0,2
Febrero 2024,2024,Febrero,Concordia,0,0,0,0,0
Febrero 2024,2024,Febrero,Cosalá,0,1,0,0,1
Febrero 2024,2024,Febrero,Culiacán,25,15,2,7,49
Febrero 2024,2024,Febrero,Choix,2,0,0,0,2
Febrero 2024,2024,Febrero,Elota,0,1,0,1,2
Febrero 2024,2024,Febrero,Escuinapa,0,2,0,2,4
Febrero 2024,2024,Febrero,El Fuerte,0,0,0,1,1
Febrero 2024,2024,Febrero,Guasave,1,11,0,4,16
Febrero 2024,2024,Febrero,Mazatlán,0,8,0,19,27
Febrero 2024,2024,Febrero,Mocorito,1,2,0,0,3
Febrero 2024,2024,Febrero,Rosario,0,1,0,0,1
Febrero 2024,2024,Febrero,Salvador Alvarado,3,0,1,0,4
Febrero 2024,2024,Febrero,San Ignacio,1,0,0,0,1
Febrero 2024,2024,Febrero,Sinaloa,0,0,0,1,1
Febrero 2024,2024,Febrero,Navolato,3,2,0,2,7
Febrero 2024,2024,Febrero,Eldorado,0,0,0,0,0
Febrero 2024,2024,Febrero,Juan José Ríos,0,0,0,0,0
Marzo 2024,2024,Marzo,Ahome,0,11,0,9,20
Marzo 2024,2024,Marzo,Angostura,0,4,0,0,4
Marzo 2024,2024,Marzo,Badiraguato,2,0,0,0,2
Marzo 2024,2024,Marzo,Concordia,0,0,0,1,1
Marzo 2024,2024,Marzo,Cosalá,0,0,0,0,0
Marzo 2024,2024,Marzo,Culiacán,19,16,0,10,45
Marzo 2024,2024,Marzo,Choix,1,2,0,1,4
Marzo 2024,2024,Marzo,Elota,0,1,0,1,2
Marzo 2024,2024,Marzo,Escuinapa,0,1,0,2,3
Marzo 2024,2024,Marzo,El Fuerte,2,5,0,0,7
Marzo 2024,2024,Marzo,Guasave,0,7,0,3,10
Marzo 2024,2024,Marzo,Mazatlán,4,9,1,16,30
Marzo 2024,2024,Marzo,Mocorito,0,2,0,1,3
Marzo 2024,2024,Marzo,Rosario,1,1,0,0,2
Marzo 2024,2024,Marzo,Salvador Alvarado,0,1,0,2,3
Marzo 2024,2024,Marzo,San Ignacio,0,1,0,0,1
Marzo 2024,2024,Marzo,Sinaloa,0,3,0,1,4
Marzo 2024,2024,Marzo,Navolato,2,2,0,3,7
Marzo 2024,2024,Marzo,Eldorado,0,0,0,0,0
Marzo 2024,2024,Marzo,Juan José Ríos,0,0,0,0,0
Abril 2024,2024,Abril,Ahome,2,13,0,7,22
